month;sales
02/01/2021 04:35;23,6
02/01/2021 04:40;23,6
02/01/2021 04:45;23,6
02/01/2021 04:50;23,6
02/01/2021 04:55;23,6
02/01/2021 05:00;23,4
02/01/2021 05:05;23,4
02/01/2021 05:10;23,4
02/01/2021 05:15;23,2
02/01/2021 05:20;23,2
02/01/2021 05:25;23,2
02/01/2021 05:30;23,2
02/01/2021 05:35;23,1
02/01/2021 05:40;23
02/01/2021 05:45;23
02/01/2021 05:50;23,4
02/01/2021 05:55;23,5
02/01/2021 06:00;23,4
02/01/2021 06:05;23,2
02/01/2021 06:10;23,1
02/01/2021 06:15;22,8
02/01/2021 06:20;22,8
02/01/2021 06:25;22,9
02/01/2021 06:30;22,8
02/01/2021 06:35;22,7
02/01/2021 06:40;22,8
02/01/2021 06:45;22,6
02/01/2021 06:50;22,7
02/01/2021 06:55;23,1
02/01/2021 07:00;23,4
02/01/2021 07:05;23,3
02/01/2021 07:10;23,3
02/01/2021 07:15;23,4
02/01/2021 07:20;23,3
02/01/2021 07:25;23,2
02/01/2021 07:30;22,95
02/01/2021 07:35;23
02/01/2021 07:40;23,1
02/01/2021 07:45;23,2
02/01/2021 07:50;23,5
02/01/2021 07:55;23,7
02/01/2021 08:00;23,9
02/01/2021 08:05;24,1
02/01/2021 08:10;24,3
02/01/2021 08:15;24,7
02/01/2021 08:20;25,1
02/01/2021 08:25;25,3
02/01/2021 08:30;25,6
02/01/2021 08:35;26,2
02/01/2021 08:40;26,6
02/01/2021 08:45;27,1
02/01/2021 08:50;27,7
02/01/2021 08:55;28,3
02/01/2021 09:00;28,7
02/01/2021 09:05;29,2
02/01/2021 09:10;29,3
02/01/2021 09:15;30,2
02/01/2021 09:20;30,2
02/01/2021 09:25;30,6
02/01/2021 09:30;30,8
02/01/2021 09:35;31,2
02/01/2021 09:40;31,5
02/01/2021 09:45;31,8
02/01/2021 09:50;31,9
02/01/2021 09:55;32,1
02/01/2021 10:00;32,9
02/01/2021 10:05;33,5
02/01/2021 10:10;34,1
02/01/2021 10:15;34,3
02/01/2021 10:20;34,6
02/01/2021 10:25;34,7
02/01/2021 10:30;34,75
02/01/2021 10:35;35,6
02/01/2021 10:40;35,6
02/01/2021 10:45;36
02/01/2021 10:50;36,4
02/01/2021 10:55;36,8
02/01/2021 11:00;37,3
02/01/2021 11:05;37,3
02/01/2021 11:10;37,3
02/01/2021 11:15;37,45
02/01/2021 11:20;37,9
02/01/2021 11:25;38,3
02/01/2021 11:30;38,4
02/01/2021 11:35;38,5
02/01/2021 11:40;38,4
02/01/2021 11:45;39,3
02/01/2021 11:50;38,9
02/01/2021 11:55;39,8
02/01/2021 12:00;40,2
02/01/2021 12:05;40,5
02/01/2021 12:10;40,2
02/01/2021 12:15;40,3
02/01/2021 12:20;40,5
02/01/2021 12:25;40,9
02/01/2021 12:30;40,7
02/01/2021 12:35;40,7
02/01/2021 12:40;41,4
02/01/2021 12:45;41,5
02/01/2021 12:50;42,5
02/01/2021 12:55;42,6
02/01/2021 13:00;42,5
02/01/2021 13:05;42,8
02/01/2021 13:10;43,05
02/01/2021 13:15;42,2
02/01/2021 13:20;42,7
02/01/2021 13:25;43,25
02/01/2021 13:30;43,1
02/01/2021 13:35;42
02/01/2021 13:40;43,25
02/01/2021 13:45;43,6
02/01/2021 13:50;44
02/01/2021 13:55;43,8
02/01/2021 14:00;42,7
02/01/2021 14:05;42,6
02/01/2021 14:10;41,8
02/01/2021 14:15;41,45
02/01/2021 14:20;41,5
